Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
74487706,Logged out user can see homepage,"",1,"Jun 30, 2014","Jul 6, 2014",feature,1,unstarted,"Jul 6, 2014",,,Hunter Gillane,"As a logged out user
when I visit the homepage
Then I should see the words ""Contact Database""",https://www.pivotaltracker.com/story/show/74487706,
74487712,Logged out user can get to the log in form,"",1,"Jun 30, 2014","Jul 6, 2014",feature,1,unstarted,"Jul 6, 2014",,,Hunter Gillane,"As a logged out user
When I visit the homepage
Then I should see a ""Login"" link
And when I click the ""Login"" link
Then I should see a form with fields for username and password

Submitting the form is in the next story",https://www.pivotaltracker.com/story/show/74487712,
74487792,User can log in,"",1,"Jun 30, 2014","Jul 6, 2014",feature,2,unstarted,"Jul 6, 2014",,,Hunter Gillane,"As a user
When I click ""Login"" on the home page
And I fill in the sign in form
Then I should be back on the home page
And I should see ""Welcome, <username>""
Where <username> is the logged in user's username
And I should not see a ""Login"" link",https://www.pivotaltracker.com/story/show/74487792,
74487810,User can see their contacts,"",1,"Jun 30, 2014","Jul 6, 2014",feature,1,unstarted,"Jul 6, 2014",,,Hunter Gillane,"As a logged in user
When I visit the home page
Then I should see a list of my contacts and their Name and Email",https://www.pivotaltracker.com/story/show/74487810,
74487824,User can log out,"",1,"Jun 30, 2014","Jul 6, 2014",feature,1,unstarted,"Jul 6, 2014",,,Hunter Gillane,"As a logged in user
When I click ""Logout""
Then I should not see ""Welcome <username>""
And I should see the ""Login"" link",https://www.pivotaltracker.com/story/show/74487824,
